name,latitude,longitude
Road1,23.7989009836764,90.42413393344309
Road2,23.79682334765644,90.4245448662137
Kachabazar,23.79876997863748,90.42590762177426
kalaton,23.797320181358238,90.42689954898708
BlockA,23.79958444209474,90.42771583757852
Farazy,23.797111564449157,90.42912158680915
